t, E_left, E_center, E_right, E_exact_left, E_exact_center, E_exact_right
0,137.2,137.2,137.2,0,0,0
1.65552e-05,137.2,137.2,137.2,0,0,0
3.31104e-05,137.2,137.2,137.2,0,0,0
4.96656e-05,137.2,137.2,137.2,0,0,0
6.62207e-05,137.2,137.2,137.2,0,0,0
8.27759e-05,137.2,137.2,137.2,0,0,0
9.93311e-05,137.2,137.2,137.2,0,0,0
0.000115886,137.2,137.2,137.2,0,0,0
0.000132441,137.2,137.2,137.2,0,0,0
0.000148997,137.2,137.2,137.2,0,0,0
0.000165552,137.2,137.2,137.2,0,0,0
0.000182107,137.2,137.2,137.2,0,0,0
0.000198662,137.2,137.2,137.2,0,0,0
0.000215217,137.2,137.2,137.2,0,0,0
0.000231773,137.2,137.2,137.2,0,0,0
0.000248328,137.2,137.2,137.2,0,0,0
0.000264883,137.2,137.2,137.2,0,0,0
0.000281438,137.2,137.199,137.2,0,0,0
0.000297993,137.2,137.197,137.2,0,0,0
0.000314548,137.2,137.193,137.2,0,0,0
0.000331104,137.2,137.182,137.2,0,0,0
0.000347659,137.2,137.16,137.2,0,0,0
0.000364214,137.2,137.115,137.2,0,0,0
0.000380769,137.2,137.035,137.2,0,0,0
0.000397324,137.2,136.903,137.2,0,0,0
0.00041388,137.2,136.705,137.2,0,0,0
0.000430435,137.2,136.429,137.2,0,0,0
0.00044699,137.2,136.081,137.2,0,0,0
0.000463545,137.2,135.677,137.2,0,0,0
0.0004801,137.2,135.249,137.2,0,0,0
0.000496656,137.2,134.83,137.2,0,0,0
0.000513211,137.2,134.452,137.2,0,0,0
0.000529766,137.2,134.135,137.2,0,0,0
0.000546321,137.2,133.888,137.2,0,0,0
0.000562876,137.2,133.708,137.2,0,0,0
0.000579431,137.2,133.586,137.2,0,0,0
0.000595987,137.2,133.511,137.2,0,0,0
0.000612542,137.2,133.47,137.2,0,0,0
0.000629097,137.2,133.452,137.199,0,0,0
0.000645652,137.2,133.45,137.197,0,0,0
0.000662207,137.2,133.457,137.193,0,0,0
0.000678763,137.2,133.468,137.183,0,0,0
0.000695318,137.2,133.48,137.164,0,0,0
0.000711873,137.2,133.492,137.128,0,0,0
0.000728428,137.2,133.504,137.066,0,0,0
0.000744983,137.2,133.514,136.969,0,0,0
0.000761538,137.2,133.523,136.828,0,0,0
0.000778094,137.2,133.53,136.641,0,0,0
0.000794649,137.2,133.538,136.41,0,0,0
0.000811204,137.2,133.544,136.149,0,0,0
0.000827759,137.2,133.551,135.874,0,0,0
0.000844314,137.2,133.557,135.607,0,0,0
0.00086087,137.2,133.565,135.362,0,0,0
0.000877425,137.2,133.572,135.15,0,0,0
0.00089398,137.2,133.581,134.977,0,0,0
0.000910535,137.2,133.591,134.841,0,0,0
0.00092709,137.2,133.601,134.737,0,0,0
0.000943645,137.2,133.613,134.659,0,0,0
0.000960201,137.2,133.625,134.6,0,0,0
0.000976756,137.2,133.638,134.556,0,0,0
0.000993311,137.2,133.651,134.521,0,0,0
0.00100987,137.2,133.664,134.492,0,0,0
0.00102642,137.2,133.678,134.466,0,0,0
0.00104298,137.2,133.691,134.441,0,0,0
0.00105953,137.2,133.705,134.417,0,0,0
0.00107609,137.2,133.718,134.394,0,0,0
0.00109264,137.2,133.731,134.37,0,0,0
0.0011092,137.2,133.744,134.346,0,0,0
0.00112575,137.2,133.756,134.322,0,0,0
0.00114231,137.2,133.769,134.298,0,0,0
0.00115886,137.2,133.781,134.275,0,0,0
0.00117542,137.2,133.793,134.252,0,0,0
0.00119197,137.2,133.805,134.229,0,0,0
0.00120853,137.2,133.817,134.208,0,0,0
0.00122508,137.2,133.829,134.187,0,0,0
0.00124164,137.2,133.841,134.168,0,0,0
0.00125819,137.2,133.853,134.15,0,0,0
0.00127475,137.2,133.864,134.132,0,0,0
0.0012913,137.2,133.876,134.116,0,0,0
0.00130786,137.2,133.887,134.1,0,0,0
0.00132441,137.2,133.898,134.085,0,0,0
0.00134097,137.2,133.909,134.071,0,0,0
0.00135753,137.2,133.921,134.058,0,0,0
0.00137408,137.2,133.932,134.045,0,0,0
0.00139064,137.2,133.942,134.032,0,0,0
0.00140719,137.2,133.954,134.02,0,0,0
0.00142375,137.2,133.964,134.008,0,0,0
0.0014403,137.2,133.975,133.997,0,0,0
0.00145686,137.2,133.986,133.985,0,0,0
0.00147341,137.2,133.996,133.974,0,0,0
0.00148997,137.2,134.007,133.964,0,0,0
0.00150652,137.2,134.017,133.954,0,0,0
0.00152308,137.2,134.027,133.944,0,0,0
0.00153963,137.2,134.037,133.934,0,0,0
0.00155619,137.2,134.048,133.924,0,0,0
0.00157274,137.2,134.058,133.915,0,0,0
0.0015893,137.2,134.068,133.906,0,0,0
0.00160585,137.2,134.078,133.898,0,0,0
0.00162241,137.2,134.088,133.889,0,0,0
0.00163896,137.2,134.097,133.881,0,0,0
0.00165552,137.2,134.107,133.873,0,0,0
0.00167207,137.2,134.117,133.866,0,0,0
0.00168863,137.2,134.126,133.858,0,0,0
0.00170518,137.2,134.136,133.851,0,0,0
0.00172174,137.2,134.145,133.844,0,0,0
0.00173829,137.2,134.154,133.838,0,0,0
0.00175485,137.2,134.164,133.831,0,0,0
0.0017714,137.2,134.173,133.825,0,0,0
0.00178796,137.2,134.182,133.819,0,0,0
0.00180452,137.2,134.191,133.813,0,0,0
0.00182107,137.2,134.2,133.807,0,0,0
0.00183763,137.2,134.209,133.802,0,0,0
0.00185418,137.2,134.218,133.797,0,0,0
0.00187074,137.2,134.227,133.792,0,0,0
0.00188729,137.2,134.235,133.787,0,0,0
0.00190385,137.2,134.244,133.782,0,0,0
0.0019204,137.2,134.252,133.778,0,0,0
0.00193696,137.2,134.261,133.773,0,0,0
0.00195351,137.2,134.27,133.769,0,0,0
0.00197007,137.2,134.278,133.765,0,0,0
0.00198662,137.199,134.286,133.761,0,0,0
0.00200318,137.199,134.294,133.758,0,0,0
0.00201973,137.197,134.303,133.754,0,0,0
0.00203629,137.195,134.311,133.751,0,0,0
0.00205284,137.19,134.319,133.747,0,0,0
0.0020694,137.183,134.327,133.744,0,0,0
0.00208595,137.172,134.335,133.741,0,0,0
0.00210251,137.156,134.343,133.738,0,0,0
0.00211906,137.135,134.351,133.736,0,0,0
0.00213562,137.108,134.359,133.733,0,0,0
0.00215217,137.076,134.366,133.73,0,0,0
0.00216873,137.041,134.374,133.728,0,0,0
0.00218528,137.004,134.382,133.726,0,0,0
0.00220184,136.969,134.389,133.724,0,0,0
0.00221839,136.936,134.397,133.722,0,0,0
0.00223495,136.907,134.405,133.72,0,0,0
0.00225151,136.882,134.412,133.718,0,0,0
0.00226806,136.862,134.419,133.716,0,0,0
0.00228462,136.846,134.427,133.714,0,0,0
0.00230117,136.834,134.434,133.713,0,0,0
0.00231773,136.824,134.441,133.711,0,0,0
0.00233428,136.817,134.448,133.71,0,0,0
0.00235084,136.811,134.455,133.709,0,0,0
0.00236739,136.806,134.462,133.707,0,0,0
0.00238395,136.802,134.469,133.706,0,0,0
0.0024005,136.798,134.476,133.705,0,0,0
0.00241706,136.795,134.483,133.704,0,0,0
0.00243361,136.791,134.49,133.703,0,0,0
0.00245017,136.788,134.497,133.702,0,0,0
0.00246672,136.785,134.504,133.701,0,0,0
0.00248328,136.781,134.511,133.7,0,0,0
0.00249983,136.778,134.517,133.699,0,0,0
0.00251639,136.775,134.524,133.698,0,0,0
0.00253294,136.772,134.531,133.697,0,0,0
0.0025495,136.769,134.537,133.696,0,0,0
0.00256605,136.766,134.544,133.695,0,0,0
0.00258261,136.764,134.55,133.694,0,0,0
0.00259916,136.761,134.556,133.694,0,0,0
0.00261572,136.758,134.563,133.693,0,0,0
0.00263227,136.756,134.569,133.692,0,0,0
0.00264883,136.754,134.575,133.691,0,0,0
0.00266538,136.752,134.582,133.69,0,0,0
0.00268194,136.75,134.587,133.69,0,0,0
0.00269849,136.748,134.593,133.689,0,0,0
0.00271505,136.746,134.6,133.688,0,0,0
0.00273161,136.745,134.606,133.687,0,0,0
0.00274816,136.743,134.612,133.687,0,0,0
0.00276472,136.742,134.617,133.686,0,0,0
0.00278127,136.74,134.623,133.685,0,0,0
0.00279783,136.739,134.629,133.685,0,0,0
0.00281438,136.737,134.635,133.684,0,0,0
0.00283094,136.736,134.64,133.684,0,0,0
0.00284749,136.735,134.646,133.683,0,0,0
0.00286405,136.734,134.651,133.682,0,0,0
0.0028806,136.732,134.657,133.682,0,0,0
0.00289716,136.731,134.662,133.681,0,0,0
0.00291371,136.73,134.668,133.681,0,0,0
0.00293027,136.729,134.673,133.681,0,0,0
0.00294682,136.728,134.678,133.68,0,0,0
0.00296338,136.727,134.684,133.68,0,0,0
0.00297993,136.726,134.689,133.679,0,0,0
0.00299649,136.726,134.694,133.679,0,0,0
0.00301304,136.725,134.699,133.679,0,0,0
0.0030296,136.724,134.704,133.678,0,0,0
0.00304615,136.723,134.709,133.678,0,0,0
0.00306271,136.722,134.714,133.678,0,0,0
0.00307926,136.722,134.719,133.678,0,0,0
0.00309582,136.721,134.724,133.677,0,0,0
0.00311237,136.72,134.729,133.677,0,0,0
0.00312893,136.72,134.733,133.677,0,0,0
0.00314548,136.719,134.738,133.677,0,0,0
0.00316204,136.719,134.743,133.677,0,0,0
0.0031786,136.718,134.748,133.677,0,0,0
0.00319515,136.718,134.752,133.677,0,0,0
0.00321171,136.718,134.757,133.676,0,0,0
0.00322826,136.717,134.761,133.676,0,0,0
0.00324482,136.717,134.766,133.676,0,0,0
0.00326137,136.717,134.77,133.676,0,0,0
0.00327793,136.716,134.775,133.676,0,0,0
0.00329448,136.716,134.779,133.676,0,0,0
0.00331104,136.716,134.783,133.676,0,0,0
0.00332759,136.716,134.788,133.676,0,0,0
0.00334415,136.715,134.792,133.677,0,0,0
0.0033607,136.715,134.796,133.677,0,0,0
0.00337726,136.715,134.8,133.677,0,0,0
0.00339381,136.715,134.804,133.677,0,0,0
0.00341037,136.715,134.809,133.677,0,0,0
0.00342692,136.715,134.813,133.677,0,0,0
0.00344348,136.715,134.817,133.677,0,0,0
0.00346003,136.715,134.821,133.678,0,0,0
0.00347659,136.715,134.825,133.678,0,0,0
0.00349314,136.715,134.829,133.678,0,0,0
0.0035097,136.715,134.832,133.678,0,0,0
0.00352625,136.715,134.836,133.678,0,0,0
0.00354281,136.715,134.84,133.679,0,0,0
0.00355936,136.715,134.844,133.679,0,0,0
0.00357592,136.715,134.848,133.679,0,0,0
0.00359247,136.715,134.851,133.68,0,0,0
0.00360903,136.715,134.855,133.68,0,0,0
0.00362559,136.716,134.859,133.68,0,0,0
0.00364214,136.716,134.862,133.681,0,0,0
0.0036587,136.716,134.866,133.681,0,0,0
0.00367525,136.716,134.87,133.681,0,0,0
0.00369181,136.716,134.873,133.682,0,0,0
0.00370836,136.717,134.877,133.682,0,0,0
0.00372492,136.717,134.88,133.683,0,0,0
0.00374147,136.717,134.884,133.683,0,0,0
0.00375803,136.717,134.887,133.683,0,0,0
0.00377458,136.718,134.891,133.684,0,0,0
0.00379114,136.718,134.894,133.684,0,0,0
0.00380769,136.718,134.897,133.685,0,0,0
0.00382425,136.719,134.901,133.685,0,0,0
0.0038408,136.719,134.904,133.686,0,0,0
0.00385736,136.719,134.908,133.686,0,0,0
0.00387391,136.72,134.911,133.687,0,0,0
0.00389047,136.72,134.914,133.687,0,0,0
0.00390702,136.721,134.918,133.688,0,0,0
0.00392358,136.721,134.921,133.688,0,0,0
0.00394013,136.721,134.925,133.689,0,0,0
0.00395669,136.722,134.928,133.69,0,0,0
0.00397324,136.722,134.932,133.69,0,0,0
0.0039898,136.723,134.935,133.691,0,0,0
0.00400635,136.723,134.938,133.691,0,0,0
0.00402291,136.724,134.942,133.692,0,0,0
0.00403946,136.724,134.945,133.693,0,0,0
0.00405602,136.725,134.948,133.693,0,0,0
0.00407258,136.725,134.952,133.694,0,0,0
0.00408913,136.726,134.955,133.695,0,0,0
0.00410569,136.726,134.959,133.695,0,0,0
0.00412224,136.727,134.962,133.696,0,0,0
0.0041388,136.727,134.966,133.697,0,0,0
0.00415535,136.728,134.969,133.697,0,0,0
0.00417191,136.728,134.972,133.698,0,0,0
0.00418846,136.729,134.975,133.699,0,0,0
0.00420502,136.729,134.979,133.699,0,0,0
0.00422157,136.73,134.982,133.7,0,0,0
0.00423813,136.731,134.985,133.701,0,0,0
0.00425468,136.731,134.989,133.702,0,0,0
0.00427124,136.732,134.992,133.702,0,0,0
0.00428779,136.732,134.995,133.703,0,0,0
0.00430435,136.733,134.998,133.704,0,0,0
0.0043209,136.733,135.002,133.705,0,0,0
0.00433746,136.734,135.005,133.705,0,0,0
0.00435401,136.735,135.008,133.706,0,0,0
0.00437057,136.735,135.011,133.707,0,0,0
0.00438712,136.736,135.014,133.708,0,0,0
0.00440368,136.736,135.017,133.709,0,0,0
0.00442023,136.737,135.021,133.709,0,0,0
0.00443679,136.738,135.024,133.71,0,0,0
0.00445334,136.738,135.027,133.711,0,0,0
0.0044699,136.739,135.03,133.712,0,0,0
0.00448645,136.74,135.033,133.713,0,0,0
0.00450301,136.74,135.036,133.714,0,0,0
0.00451957,136.741,135.039,133.715,0,0,0
0.00453612,136.741,135.042,133.715,0,0,0
0.00455268,136.742,135.045,133.716,0,0,0
0.00456923,136.743,135.049,133.717,0,0,0
0.00458579,136.743,135.052,133.718,0,0,0
0.00460234,136.744,135.055,133.719,0,0,0
0.0046189,136.745,135.058,133.72,0,0,0
0.00463545,136.745,135.061,133.721,0,0,0
0.00465201,136.746,135.064,133.722,0,0,0
0.00466856,136.747,135.067,133.723,0,0,0
0.00468512,136.747,135.07,133.723,0,0,0
0.00470167,136.748,135.072,133.724,0,0,0
0.00471823,136.749,135.075,133.725,0,0,0
0.00473478,136.749,135.078,133.726,0,0,0
0.00475134,136.75,135.081,133.727,0,0,0
0.00476789,136.751,135.084,133.728,0,0,0
0.00478445,136.751,135.087,133.729,0,0,0
0.004801,136.752,135.09,133.73,0,0,0
0.00481756,136.753,135.093,133.731,0,0,0
0.00483411,136.753,135.096,133.732,0,0,0
0.00485067,136.754,135.099,133.733,0,0,0
0.00486722,136.755,135.102,133.734,0,0,0
0.00488378,136.755,135.104,133.735,0,0,0
0.00490033,136.756,135.107,133.736,0,0,0
0.00491689,136.757,135.11,133.737,0,0,0
0.00493344,136.757,135.113,133.738,0,0,0
0.00495,136.758,135.116,133.739,0,0,0
0.00496656,136.759,135.119,133.74,0,0,0
0.00498311,136.759,135.121,133.741,0,0,0
0.00499967,136.76,135.124,133.742,0,0,0
0.00501622,136.761,135.127,133.743,0,0,0
